title	text	tag	date
24 graduates in pilots course	Fixed Wing Training Faculty (FWTF) conducted the graduation ceremony at the Air Force Station, Yelahanka, to mark the completion of 202nd Pilots Course (PC) and 55th An-32 Navigation Conversion Course (ANCC). Twenty-four officers graduated as fully operational aircrew during the valedictory function. Among the pilots, Flying Officer Luv Bharadwaj was adjudged first in Overall Order of Merit and first in flying. Flying Officer Siddhant Mishra was adjudged first in Ground Subjects. Flying Officer Rashmi Kumari won all the three trophies among Navigators. The graduating officers will soon shoulder crucial responsibilities of flying at operational squadrons across India, a press release said.	pilots,	 Jun 09 2019
Jap venture capital firm to invest in C-CAMP startups	The Centre for Cellular and Molecular Platforms (C-CAMP), Bengaluru, has signed a Letter of Intent (LoI) with Beyond Next Ventures (BNV), Japan, which is dedicated to incubation investment in tech startups.The broad aim of this collaboration is to encourage and promote the best deep science innovations in life sciences and biotechnology. With the LoI, the two organisations intend to create C-CAMP – BNV Innovation Hub (CBIH), which will largely focus on facilitating Japanese investment of up to five million dollars in Indian startups working on technologies in life sciences and biotech.The hub will support startups in both India and Japan, through exchange of human resources, technologies and other facilitation programmes to connect skilled talent, entrepreneurs and stakeholders.Dr Taslimarif Saiyed, CEO and Director, C-CAMP, said that investment by the Japanese venture capital firm would help nurture more startups which are working on high-risk, high-return innovations in the sector.“This will be a fantastic start to build Indo-Japanese collaborations for high-end innovations,” he said.Tsuyoshi Ito, CEO, BNV, said the firm plans to make full-fledged venture investments in life sciences in India, which will contribute to industrial and economic development.	Bengaluru,tech startup,	 Jun 09 2019
Karnataka Jain Association to complete 100 years	The Karnataka Jain Association on KR road, Bengaluru is all set to complete 100 years next week, and will be among the very few associations in the country to mark their centenary.Established in 1918 in Mysuru, the association was initially named Mysore Jain Association. M L Vardhamanaiah, the founder president of the association established it in the Chandragupta Road, in the heritage city. The association shifted to Bengaluru in 1971.According to members of the association, though they hail from Karnataka and speak Kannada fluently, there is a misconception that they belong to North India.“The members of Karnataka Jain Association belong to Digambara sects and we have origins from Karnataka. Since we also use the surname ‘Jain’ some people assume we hail from North India,” Jitendra Kumar, president, Karnataka Jain Association told DH. Jitendra will complete 20 years in office as the president of the association. He has decided to quit and will not contest in next election scheduled in September.Karnataka Jain Association has 8,000 registered members in Bengaluru alone and also has branch offices at all the districts of the state. So far, the association has seen only 12 presidents.The association had become dysfunctional for a few years in Mysuru due to lack of effective leadership in the early 60s. Later, the Jain community in Bengaluru took charge of the Mysore-based association and established it on KR Road in Basavangudi, Bengaluru by providing hostels, halls and a temple for people of the community.During the valedictory function of the centenary celebrations, a book talking about the journey of the society will be released.	Karnataka Jain Association,Bengaluru,	 Jun 09 2019
Govt school’s walls coloured after whitewash setback	A government school in Victoria Layout, Yalagonda Palya, in the news recently for turning pale with an abrupt whitewash, has gained back its beauty.Volunteers who transformed the school with their wonderful art works in January saw the Election Commission whitewashing the walls on account of the model code of conduct, though the paintings did not have any political significance.The same group of volunteers turned up at the school on June 5 and painted it back to its vibrancy. Marking World Environment Day, the volunteers also planted saplings at the school premises along with the city police commissioner. The saplings planted were named after Kannada poets.Local residents and school students also joined hands with the volunteers from the Shilpa Foundation and Fedilitus Art Gallery, who beautified the school as part of their CSR initiative.“We painted the walls with new art works. Now, it sports flowers, pencil, plants and butterflies, among other things,” Achyuth Gowda, founder, Fedilitus Corp, told DH.He said the volunteers think it their duty to beautify the school once again. “This was like a welcome event for the students who are starting a new academic year,” Gowda said.The company spent Rs 20,000 on the initiative.On whether the volunteers had asked the EC the reason behind whitewashing the school, Gowda said: “Let’s not blame anyone here. The officials have only done their duty. We waited for the school to reopen and now we found the right time to (re-beautify) it.”	government school,Bengaluru,	 Jun 09 2019
Jeremy Pilmore-Bedford to be British Dy HC	Jeremy Pilmore-Bedford, who is currently serving as Deputy High Commissioner in Chennai, will take over as British Deputy High Commissioner (BDHC), Bengaluru, in September.Dominic McAllister, who is the current British Deputy High Commissioner, hosted his fourth Queens Birthday Party in the city on Thursday and it was his last.‘A Summer of Sport’The theme of the party was “A Summer of Sport” to celebrate the Cricket World Cup, which is underway in England and Wales.“We also have Wimbledon, the British Open Golf Championship and the British Grand Prix this summer to look forward to. Home Minister MB Patil attended the reception as the government’s representative.Infosys co-founder Narayana Murthy also attended the event. So did cricket historian Ram Guha, who spoke about Karnataka’s special sporting links with the UK,” according to a note.Members of the BDHC also staged a flashmob and danced to the tunes of Coldplay and Kannada and Hindi songs.Under the “Living Bridge” agenda the UK has sent 15 Chevening scholars/fellows and 15 British Council STEM scholars to the UK from Karnataka on fully funded masters programmes and fellowships.	Jeremy Pilmore-Bedford,Bengaluru,	 Jun 08 2019
Religare clarifies on insurance fraud charges 	"A day after Deccan Herald reported about the police complaint filed against Religare Health Insurance (RHI) and its officials by a resident of Vyalikaval over charges of forging medical records, the company has clarified that the allegations of complainant Rathna Bai are baseless and has already been rejected by the Bima Lokpal Karyalaya (Office of Insurance Ombudsman), Karnataka.In an official mail to DH, a spokesperson of the insurance company stated that all the allegations have been dismissed by the ombudsman. ""The allegations were rejected on the ground that the complainant had not undergone a pre-policy medical check-up along with proof of dates and non-declaration of pre-existing diseases. Similar claims were also filed with another health insurance company, amounting to cheating,"" the spokesperson said.Further, the spokesperson also stated that the complainant had initially concealed the pre-existing disease of hypertension and when discovered later by RHI, it requested for endorsement by her. ""However, the complainant still did not reveal two other pre-existing ailments viz a viz, Cerebro-Vascular Accident (CVA) and Obstructive Sleep Apnea (OSA),"" the statement said."	insurance claims,	 Jun 08 2019
Walkathon to spread ‘skin’ lesson	While there is a demand for 3,000 skin donations every year to treat burns’ victims, 81 donations have been made at the Victoria Hospital’s skin bank since its inception in March 2016.The Victoria Hospital, in association with the Rotary Bangalore Midtown, is running a skin bank. Each year, the hospital sees about 1,000 burns victims. According to the doctors, to treat one severe burns victim, skin from three donors is needed.To create awareness about skin donation, the Rotary Bangalore Midtown, in association with Prestige Group and Ashirvad Pipes, has organised a 5 km walkathon on June 9 from St. Joseph’s Indian High School ground at 6.30 am.One of India’s bravehearts, Laxmi Agarwal, an acid attack survivor, will participate. Laxmi is associated with the Rotary Bangalore Midtown as the official Cause Ambassador for skin donation.Laxmi will educate citizens about skin donation through her journey, the organisers said. Having put her story in a light, the association hopes to encourage citizens to pledge their skin for donation.Namratha Bhatia, Rotarian and a fashion designer, told DH that the walkathon aims to motivate people to come forward for donation.“We have been interacting with the walkers at Cubbon Park. We understand that very few people know that skin is donatable. We have facilities at the Victoria Hospital, and it is important for people to be aware of it,” Namratha said.In India, there are 70 lakh cases of burns annually, of which 7 lakh require hospital admission and 1.4 lakh are fatal. Of them, 90,000 are women. Burn victims require special care and treatment including counselling.	Bengaluru,Victoria Hospital,Skin bank,	 Jun 08 2019
Bengalureans leading the way in tackling water crisis	Every summer, water, or rather the lack of it, always becomes the topic of concern in Bengaluru. Recently, 670 Bengalureans signed a petition launched by the Bangalore Apartments’ Federation (BAF) to conserve water through various measures, keeping in mind the current water crisis the city is currently facing. This petition was for the citizens as opposed to the usual address to the authorities.DH had earlier reported that BAF, which represents over 70,000 apartments, had also conducted the BAFHalfBucketChallenge, a social media campaign urging its members to bathe in half a bucket of water to tackle the issue of water shortage. Their objective is to generate consciousness about water preservation among citizens.In this petition, the residents are provided with certain suggestions which could prove to be beneficial considering that Bengaluru is in the throes of a water crisis with erratic supply of Cauvery water and groundwater running dry in several places. Suggestions included installations of smart water meters, installation of tap aerators in taps, simple but effective measures like checking taps and faucets for leaks, using washing machines with only full load, cleaning vehicles without water, collecting RO waste water for household cleaning and so on.There have been initiatives taken up by various citizen-based associations and organisations to collectively come up with solutions for this problem which holds long-term implications.ADDA, a company that offers an integrated apartment management software for gated communities, organised a water workshop, a third of its kind to find solutions to the water crisis. It brought to light several ongoing sustainable water management measures.With a focus on gated communities, representatives of Resident Welfare Associations (RWAs), citizen groups and activists met on March 23, at the The Energy and Resources Institute (TERI) campus, Domlur, to seek solutions to the ongoing water crisis- monitoring of water consumption in apartment complexes, avoiding the usage of showers while bathing and working with Ward Committees to ensure proper drainage system to name a few. Improvement in utilisation of existing rainwater harvesting programmes and digging of wells to recharge groundwater are essential steps to be implemented.Whitefield Rising (WFR) is a civic group which has regularly made conscious and sustained efforts to rejuvenate lakes in Whitefield and to organise workshops on water management. Their emphasis has been on the need to reuse water and to set up Sewage Treatment Plants (STPs) in the area. STP-treated water can be used in gardens and car washing and dual piping installation can help in using the treated water for toilet flushing.The theory of ‘Ecowaternomics’ is widely discussed by almost every association aiming to make the situation better for future generations. It looks at the economics of using less water from two angles – using less and reusing more.True to its identity as a tech and start-up hub, Bengaluru has had innovations that could go a long way in tackling the issue at hand. Biome Environmental Solutions is another Bengaluru-based design firm having an expertise in providing knowledge services water management and rainwater harvesting, ecological wastewater treatment and sanitation practices, highlights limiting citizens’ demand for water since relying on the supply side was not a sustainable solution.SmarterHomes by Vivek Shukla (helps users track water usage), OpenWater.In by Sanjiv Sambadan, IISc professor (converts waste water to potable water) and the like have opened up new doors.Importance of individual contributions towards saving water cannot be overlooked. Furthermore, there is a need to engage knowledge partners, authorities and citizens in conversation to bring about real change and prevent the water issue from spiraling out, beyond our control.	Water Conservation,Water crisis,Bengaluru,	 May 28 2019
Thunderstorm destruction writ large on city landscape	The downpour of the past two nights brought down hundreds of trees, electricity poles and transformers, besides inflicting damage on scores of vehicles and plunging large parts of the city into darkness. The damage was so extensive in northern and western Bengaluru that Deputy Chief Minister G Parameshwara had to visit many areas on Monday and order civic officials to get cracking. As per the latest count, at least 100 trees and 500 branches have been uprooted. Parameshwara, who visited Vijayanagar, Malleswaram, West of Chord Road and other areas affected by the heavy rain, asked the officials to clear the debris immediately. He also instructed Bescom officials to restore the power supply. Mayor Gangambike Mallikarjun, BBMP Commissioner N Manjunath Prasad, Vijayanagar MLA M Krishnappa and others accompanied him during the inspection. Speaking to reporters later, Parameshwara said a total of 61 teams from the BBMP, Bescom and other departments were working overtime to clear the debris from streets and restore the power supply. “The BBMP control room enabled us to be aware of the rain-related problems in real time,” he added. Stating that some parts of Karnataka had received more than 120 mm of rainfall in the past few days, the deputy chief minister stressed that the BBMP was well-prepared for the monsoon that was expected to arrive in Bengaluru in a few days.He said he had instructed the officials at an earlier meeting to take the necessary steps to tackle the problems arising out of monsoon. He said low-lying areas of the city had not been flooded and sought to take credit for that. Parameshwara held another meeting with BBMP and Bescom officials about the rain preparedness, asking the agencies about the steps they had taken to avoid the flooding of streets and the potholes on roads. BBMP officials replied that they were removing silt from stormwater drains and that a premix of bitumen and sand had arrived from Tamil Nadu to fill up potholes. Parameshwara further ordered the officials to clear garbage black spots as these might block rainwater and emit a foul smell leading to health hazards. He also asked the officials of the BBMP control room and other helplines to remain alert throughout the monsoon. Officials said they were planning to raise awareness about the dangers of power lines by conducting painting and essay competitions on the topic for schoolchildren.	"Heavy rain,BBMP,The downpour of the past two nights brought down hundreds of trees, electricity poles and transformers, besides inflicting damage on scores of vehicles and plunging large parts of the city into darkness. 
The damage was so extensive in northern and western Bengaluru that Deputy Chief Minister G Parameshwara had to visit many areas on Monday and order civic officials to get cracking. 
As per the latest count, at least 100 trees and 500 branches have been uprooted. Parameshwara, who visited Vijayanagar, Malleswaram, West of Chord Road and other areas affected by the heavy rain, asked the officials to clear the debris immediately. He also instructed Bescom officials to restore the power supply. Mayor Gangambike Mallikarjun, BBMP Commissioner N Manjunath Prasad, Vijayanagar MLA M Krishnappa and others accompanied him during the inspection. 
Speaking to reporters later, Parameshwara said a total of 61 teams from the BBMP, Bescom and other departments were working overtime to clear the debris from streets and restore the power supply. “The BBMP control room enabled us to be aware of the rain-related problems in real time,” he added. 
Stating that some parts of Karnataka had received more than 120 mm of rainfall in the past few days, the deputy chief minister stressed that the BBMP was well-prepared for the monsoon that was expected to arrive in Bengaluru in a few days.
He said he had instructed the officials at an earlier meeting to take the necessary steps to tackle the problems arising out of monsoon. He said low-lying areas of the city had not been flooded and sought to take credit for that. 
Parameshwara held another meeting with BBMP and Bescom officials about the rain preparedness, asking the agencies about the steps they had taken to avoid the flooding of streets and the potholes on roads. BBMP officials replied that they were removing silt from stormwater drains and that a premix of bitumen and sand had arrived from Tamil Nadu to fill up potholes. 
Parameshwara further ordered the officials to clear garbage black spots as these might block rainwater and emit a foul smell leading to health hazards. He also asked the officials of the BBMP control room and other helplines to remain alert throughout the monsoon. 
Officials said they were planning to raise awareness about the dangers of power lines by conducting painting and essay competitions on the topic for schoolchildren.
,,,Tree fall,Bengaluru,"	 May 27 2019
Fierce thunderstorms wreak havoc across city	A ferocious thunderstorm pounded the city for nearly three hours on Saturday evening, knocking out power, bringing down trees and flooding many areas and bus stations.The thunderstorm, which lasted for over three hours, was so intense that the Karnataka State Natural Disaster Monitoring Centre (KSNDMC) issued more than 65 lightning and high-intensity rainfall alerts between 8:00 pm to 10:00 pm.Attributing the storm to the formation of a trough over South Interior Karnataka due to a cyclonic circulation, the Met dept forecasted more rain for the city until Monday. Sources in the KSNDMC told DH that several areas in East and North-East parts of Bengaluru received heavy rainfall. The CBD also witnessed heavy rain with intense lighting activity. Officials at the Central Control Room of Bengaluru told DH that as many as 30 trees were uprooted across the city. Incidents of tree collapse were reported from Vijayanagar, Frazer town, Wheeler Road, Vidyapeeta, JP Nagar, Jayanagar, Wilson Garden, Basaveshwara Nagar, Dickenson Road, Gandhi Bazaar, Shantinagar and Ulsoor. A huge tree fell on a power transmission line in Wilson Garden area, plunging entire neighbourhoods in darkness.Localities in Rajajinagar, Mahalakshmi Layout, Banashankari I Stage, CK Bed area also reported frequent power cuts as power lines snapped due to tree- falls. In BTM Layout, a transformer went up in flames triggering panic in the area.Amid the havoc, commuters had a harrowing time. A massive tree fell on noted radio jockey Shruti’s car, leaving her mother with minor injuries. The rain also knocked out power at the busy Shivajinagar Bus Terminal, crippling operations. Unable to find their way through the platform, a woman and kid slipped and suffered injuries.The situation was no better at the Majestic Bus Terminus. Due to clogged drains, rainwater gushed into the platforms, leading to the cancellation of operations for a brief period.A similar scene was witnessed at the Shantinagar Bus Stand.Dr GS Srinivasa Reddy, Director, KSNDMC, said the rains were intense even though they lasted only for a few hours.“North and North-East localities towards Devanahalli witnessed close to 40 mm of rainfall,” he said. Localities like KR Puram (26 mm), Kammanahalli (17 mm), Konena Agrahara (20.5 mm), Avalahalli (39 mm), Doddanekkundi (17.5 mm) , HAL (15mm), Gottigere (22.5 mm), VV Puram (10.5 mm), Anjanapura (19 mm), Hoodi (23 mm), Cottonpet (10 mm), Chamarajpet (10 mm), Bommanahalli (27) HBR Layout (15.5 mm) , Banaswadi (20.5 mm) witnessed heavy rainfall.	Rainfall,Bengaluru,thunderstorm,	 May 26 2019
Students spearhead menstruation campaign	"A group of 13 youngsters is reaching out to women, spreading awareness on menstrual hygiene. They are persuading the underprivileged to switch to eco-friendly practices. The informal bunch are school students from Bengaluru.Their goal? Every woman should be able to manage menstruation in a hygienic and dignified way.Led by a grade 12 science student, the team calls itself RutuChakra. Sanjana Dixit from the National Public School formed the group in January 2018.Having conducted multiple workshops and awareness programmes, RutuChakra has managed to raise Rs 4.5 lakh through crowdfunding.It all began when Sanjana visited an orphanage early last year and used a washroom there.""I started questioning the awareness level among underprivileged girls. I was wondering if they knew what safe menstruation meant,"" she said.Availability was a question, Sanjana observed. ""When I spoke to the person in charge there, I understood that many donate stationery and clothes. None gave money or donated supplies when it came to menstruation,"" she added.Sanjana believes, along with safety, sustainability is an important factor. As RutuChakra reaches out to women under 18, they are educated about sanitary napkins and are supplied reusable sanitary pads. However, for those above 18, options such as menstrual cups are recommended.RutuChakra has supported over 550 girls and women, distributed 33,000 sanitary napkins and conducted over 11 workshops so far.Sanjana said she was waiting to turn 18 so that she could have her NGO registered. ""For now, I have a team that is passionate -- school students from various backgrounds,"" she said.Sanjana hopes to pursue a career in either molecular biology or biotechnology."	Hygiene,Awareness,menstruation,Bengaluru,	 May 26 2019
Now, stalls at IT parks to sell mangoes to techies	Having tried their hand at taking enthusiasts on “mango tours”, the Karnataka State Mango Development and Marketing Corporation is coordinating between farmers and IT companies for sale of the king of fruits for techies’ convenience.C G Nagaraju, Managing director, Karnataka State Mango Development and Marketing Corporation, told DH that it began with a proposal mooted by an IT company.“One of them asked is if farmers can put up stalls on their campus. We obliged as it would be a great platform for farmers as well,” he said.Nagaraju said the demand is high in Mangaluru. “About 25 members in the Kadri IT Park approached us and we will host stalls there,” he said. One stall was put up in Khoday Towers in Bengaluru recently. Farmers who are certified to be growing mangoes and following good agriculture practices have been identified. “We are open to taking orders from IT companies,” he added.However, according to sources, there a few pricing issues. “The prices here are far higher than in Hopcoms,” said the source. Meanwhile, farmers also said that the response was moderate.	Bengaluru,Mangoes,IT parks,	 May 25 2019
